"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"31/03/2025 00:00:00 - 31/03/2025 01:00:00","BZN|DK2","Without Sequence","54.73","",""
"31/03/2025 01:00:00 - 31/03/2025 02:00:00","BZN|DK2","Without Sequence","53.87","",""
"31/03/2025 02:00:00 - 31/03/2025 03:00:00","BZN|DK2","Without Sequence","53.33","",""
"31/03/2025 03:00:00 - 31/03/2025 04:00:00","BZN|DK2","Without Sequence","51.93","",""
"31/03/2025 04:00:00 - 31/03/2025 05:00:00","BZN|DK2","Without Sequence","52.34","",""
"31/03/2025 05:00:00 - 31/03/2025 06:00:00","BZN|DK2","Without Sequence","53.57","",""
"31/03/2025 06:00:00 - 31/03/2025 07:00:00","BZN|DK2","Without Sequence","121.67","",""
"31/03/2025 07:00:00 - 31/03/2025 08:00:00","BZN|DK2","Without Sequence","143.63","",""
"31/03/2025 08:00:00 - 31/03/2025 09:00:00","BZN|DK2","Without Sequence","174.34","",""
"31/03/2025 09:00:00 - 31/03/2025 10:00:00","BZN|DK2","Without Sequence","133.23","",""
"31/03/2025 10:00:00 - 31/03/2025 11:00:00","BZN|DK2","Without Sequence","110.32","",""
"31/03/2025 11:00:00 - 31/03/2025 12:00:00","BZN|DK2","Without Sequence","99.08","",""
"31/03/2025 12:00:00 - 31/03/2025 13:00:00","BZN|DK2","Without Sequence","83.57","",""
"31/03/2025 13:00:00 - 31/03/2025 14:00:00","BZN|DK2","Without Sequence","74.12","",""
"31/03/2025 14:00:00 - 31/03/2025 15:00:00","BZN|DK2","Without Sequence","73.60","",""
"31/03/2025 15:00:00 - 31/03/2025 16:00:00","BZN|DK2","Without Sequence","69.56","",""
"31/03/2025 16:00:00 - 31/03/2025 17:00:00","BZN|DK2","Without Sequence","76.26","",""
"31/03/2025 17:00:00 - 31/03/2025 18:00:00","BZN|DK2","Without Sequence","100.88","",""
"31/03/2025 18:00:00 - 31/03/2025 19:00:00","BZN|DK2","Without Sequence","131.64","",""
"31/03/2025 19:00:00 - 31/03/2025 20:00:00","BZN|DK2","Without Sequence","184.06","",""
"31/03/2025 20:00:00 - 31/03/2025 21:00:00","BZN|DK2","Without Sequence","172.82","",""
"31/03/2025 21:00:00 - 31/03/2025 22:00:00","BZN|DK2","Without Sequence","135.10","",""
"31/03/2025 22:00:00 - 31/03/2025 23:00:00","BZN|DK2","Without Sequence","115.30","",""
"31/03/2025 23:00:00 - 01/04/2025 00:00:00","BZN|DK2","Without Sequence","102.38","",""
